active_time_sec,wall_time_sec,bytes_received,rss_bytes
0.318402,0.319153,16777216,21.4141
0.418382,0.420068,318767104,53.793
0.519294,0.521172,620756992,53.793
0.621869,0.624866,956301312,37.9609
0.726491,0.729678,1325400064,37.9609
0.829472,0.832847,1660944384,37.9609
0.931594,0.935163,2013265920,37.9609
1.0321,1.03586,2315255808,37.9609
1.13325,1.13718,2667577344,37.9609
1.23627,1.24036,2986344448,37.9609
1.33636,1.34063,3372220416,37.9609
1.43827,1.44273,3741319168,37.9609
1.54597,1.5506,4143972352,37.9609
1.64912,1.6539,4496293888,37.9609
1.74914,1.75415,4831838208,37.9609
1.85154,1.8567,5184159744,37.9609
1.95562,1.96092,5502926848,37.9609
2.05939,2.06489,5838471168,37.9609
2.16146,2.16725,6174015488,37.9609
2.26392,2.26991,6459228160,37.9609
2.36481,2.37095,6794772480,37.9609
2.46674,2.47301,7147094016,37.9609
2.56951,2.57594,7482638336,37.9609
2.6742,2.68085,7801405440,37.9609
2.77683,2.78366,8237613056,37.9609
2.87927,2.88626,8757706752,37.9609
2.98049,2.98766,9227468800,37.9609
3.0815,3.08892,9714008064,37.9609
3.18216,3.18988,10166992896,37.9609
3.28449,3.29237,10619977728,37.9609
